Timestamp,q1csv,q2csv,q3csv,q4csv,q5csv,q6csv,q7csv,q8csv,q9csv,q10csv,q11csv,q12csv,q13csv,q14csv,q15csv,q16csv,q17csv,q18csv,q19csv,20)  Which of the following  personality types do you think best describes you?  ,Column 21
2/28/2025 00:20:41,5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2 (Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),4 (Agree),Thinker,
2/28/2025 00:43:33,4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Thinker,
2/28/2025 01:34:11,3 (Neutral),3 (Neutral),2 (Disagree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),Sensitive,
2/28/2025 02:58:44,4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),2 (Disagree),2 (Disagree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),Extrovert,
2/28/2025 03:21:30,1 (Strongly Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),3 (Neutral),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly Disagree),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),Sensitive,
2/28/2025 04:04:37,2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),1 (Strongly Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),3 (Neutral),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),Introvert,
2/28/2025 04:30:32,3 (Neutral),4 (Agree),1 (Strongly Disagree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),Introvert,
2/28/2025 05:05:50,5 (Strongly agree),5 (Strongly agree),2 (Disagree),2 (Disagree),5 (Strongly agree),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),4 (Agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),Thinker,
2/28/2025 05:37:36,5 (Strongly agree),4 (Agree),3 (Neutral),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),3 (Neutral),4 (Agree),4 (Agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),Extrovert,
2/28/2025 07:19:48,2 (Disagree),4 (Agree),1 (Strongly Disagree),2 (Disagree),3 (Neutral),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),2 (Disagree),2 (Disagree),Introvert,
2/28/2025 08:01:16,3 (Neutral),2 (Disagree),4 (Agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),2 (Disagree),2 (Disagree),Sensitive,
2/28/2025 09:00:34,1 (Strongly Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),4 (Agree),2 (Disagree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),2 (Disagree),2 (Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),1 (Strongly Disagree),Extrovert,
2/28/2025 09:56:30,5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),Explorer,
2/28/2025 10:14:18,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),2 (Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),Sensitive,
2/28/2025 12:27:21,4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),1 (Strongly Disagree),Explorer,
2/28/2025 12:29:30,4 (Agree),3 (Neutral),2 (Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),Explorer,
2/28/2025 12:57:29,5 (Strongly agree),4 (Agree),4 (Agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),4 (Agree),Planner,
2/28/2025 13:05:34,5 (Strongly agree),4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),Introvert,
2/28/2025 13:22:06,4 (Agree),1 (Strongly Disagree),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),Sensitive,
2/28/2025 14:05:45,4 (Agree),3 (Neutral),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2 (Disagree),4 (Agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),5 (Strongly agree),3 (Neutral),2 (Disagree),Sensitive,
2/28/2025 14:39:46,4 (Agree),3 (Neutral),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2 (Disagree),4 (Agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),5 (Strongly agree),3 (Neutral),2 (Disagree),Sensitive,
2/28/2025 14:51:16,3 (Neutral),1 (Strongly Disagree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),4 (Agree),4 (Agree),2 (Disagree),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),Introvert,
2/28/2025 16:50:15,4 (Agree),3 (Neutral),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),5 (Strongly agree),4 (Agree),2 (Disagree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),2 (Disagree),5 (Strongly agree),4 (Agree),Explorer,
2/28/2025 17:19:43,4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),2 (Disagree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),Explorer,
2/28/2025 17:20:10,5 (Strongly agree),4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),Introvert,
2/28/2025 18:49:52,4 (Agree),3 (Neutral),3 (Neutral),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),2 (Disagree),2 (Disagree),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),3 (Neutral),1 (Strongly Disagree),Planner,
2/28/2025 19:44:45,4 (Agree),2 (Disagree),3 (Neutral),1 (Strongly Disagree),3 (Neutral),1 (Strongly Disagree),2 (Disagree),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),2 (Disagree),Planner,
2/28/2025 19:58:18,4 (Agree),3 (Neutral),2 (Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),Explorer,
2/28/2025 20:54:52,2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),Planner,
2/28/2025 21:00:45,4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),2 (Disagree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),Thinker,
2/28/2025 21:47:41,4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),2 (Disagree),1 (Strongly Disagree),2 (Disagree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),Thinker,
2/28/2025 21:57:10,5 (Strongly agree),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),1 (Strongly Disagree),4 (Agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),2 (Disagree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),Extrovert,
2/28/2025 22:35:52,3 (Neutral),4 (Agree),5 (Strongly agree),2 (Disagree),2 (Disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4 (Agree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),2 (Disagree),1 (Strongly Disagree),2 (Disagree),3 (Neutral),4 (Agree),Sensitive,
03-01-2025 01:36,5 (Strongly agree),2 (Disagree),3 (Neutral),2 (Disagree),2 (Disagree),2 (Disagree),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),5 (Strongly agree),3 (Neutral),4 (Agree),2 (Disagree),2 (Disagree),3 (Neutral),Introvert,
03-01-2025 03:06,2 (Disagree),4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),4 (Agree),5 (Strongly agree),3 (Neutral),3 (Neutral),2 (Disagree),Thinker,
03-01-2025 03:10,5 (Strongly agree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),5 (Strongly agree),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),4 (Agree),3 (Neutral),Planner,
03-01-2025 03:30,5 (Strongly agree),3 (Neutral),2 (Disagree),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),4 (Agree),Explorer,
03-01-2025 03:30,4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),3 (Neutral),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Thinker,
03-01-2025 03:46,1 (Strongly Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),3 (Neutral),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly Disagree),2 (Disagree),4 (Agree),3 (Neutral),4 (Agree),Sensitive,
03-01-2025 04:15,4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),1 (Strongly Disagree),Explorer,
03-01-2025 04:25,4 (Agree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),3 (Neutral),Planner,
03-01-2025 05:20,4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),3 (Neutral),3 (Neutral),5 (Strongly agree),2 (Disagree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),3 (Neutral),Explorer,
03-01-2025 06:30,4 (Agree),1 (Strongly Disagree),4 (Agree),2 (Disagree),4 (Agree),3 (Neutral),1 (Strongly Disagree),4 (Agree),1 (Strongly Disagree),3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),3 (Neutral),Explorer,
03-01-2025 06:38,5 (Strongly agree),2 (Disagree),5 (Strongly agree),4 (Agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),5 (Strongly agree),4 (Agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4 (Agree),Planner,
03-01-2025 07:22,4 (Agree),4 (Agree),2 (Disagree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),5 (Strongly agree),4 (Agree),2 (Disagree),4 (Agree),1 (Strongly Disagree),2 (Disagree),3 (Neutral),Planner,
03-01-2025 07:47,4 (Agree),3 (Neutral),4 (Agree),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),4 (Agree),4 (Agree),1 (Strongly Disagree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),4 (Agree),Thinker,
03-01-2025 07:54,4 (Agree),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),2 (Disagree),5 (Strongly agree),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),Thinker,
03-01-2025 08:29,4 (Agree),2 (Disagree),1 (Strongly Disagree),3 (Neutral),4 (Agree),4 (Agree),4 (Agree),4 (Agree),4 (Agree),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),2 (Disagree),2 (Disagree),4 (Agree),3 (Neutral),2 (Disagree),Thinker,
03-01-2025 08:34,3 (Neutral),4 (Agree),4 (Agree),1 (Strongly Disagree),3 (Neutral),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),1 (Strongly Disagree),2 (Disagree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),3 (Neutral),2 (Disagree),Explorer,
03-01-2025 08:35,2 (Disagree),4 (Agree),3 (Neutral),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),2 (Disagree),4 (Agree),2 (Disagree),2 (Disagree),4 (Agree),Introvert,
03-01-2025 09:31,4 (Agree),3 (Neutral),2 (Disagree),2 (Disagree),3 (Neutral),3 (Neutral),3 (Neutral),5 (Strongly agree),2 (Disagree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),3 (Neutral),Explorer,
03-01-2025 09:41,3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),2 (Disagree),3 (Neutral),4 (Agree),3 (Neutral),2 (Disagree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),2 (Disagree),Explorer,
03-01-2025 09:42,4 (Agree),4 (Agree),5 (Strongly agree),3 (Neutral),2 (Disagree),4 (Agree),1 (Strongly Disagree),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),5 (Strongly agree),4 (Agree),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Thinker,
03-01-2025 10:07,4 (Agree),2 (Disagree),3 (Neutral),1 (Strongly Disagree),3 (Neutral),1 (Strongly Disagree),2 (Disagree),2 (Disagree),4 (Agree),4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),4 (Agree),2 (Disagree),Planner,
03-01-2025 11:07,4 (Agree),1 (Strongly Disagree),4 (Agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),5 (Strongly agree),3 (Neutral),1 (Strongly Disagree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),2 (Disagree),3 (Neutral),3 (Neutral),Explorer,
03-01-2025 11:21,3 (Neutral),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),4 (Agree),2 (Disagree),3 (Neutral),5 (Strongly agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),5 (Strongly agree),1 (Strongly Disagree),3 (Neutral),2 (Disagree),Thinker,
03-01-2025 11:32,5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),2 (Disagree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),2 (Disagree),2 (Disagree),5 (Strongly agree),2 (Disagree),3 (Neutral),3 (Neutral),Introvert,
03-01-2025 14:29,4 (Agree),2 (Disagree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),1 (Strongly Disagree),5 (Strongly agree),1 (Strongly Disagree),4 (Agree),5 (Strongly agree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),5 (Strongly agree),1 (Strongly Disagree),5 (Strongly agree),5 (Strongly agree),1 (Strongly Disagree),Explorer,
03-01-2025 15:20,3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),1 (Strongly Disagree),4 (Agree),4 (Agree),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),4 (Agree),2 (Disagree),3 (Neutral),3 (Neutral),Introvert,
03-01-2025 16:01,3 (Neutral),2 (Disagree),1 (Strongly Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),3 (Neutral),3 (Neutral),4 (Agree),1 (Strongly Disagree),3 (Neutral),4 (Agree),2 (Disagree),3 (Neutral),Explorer,
03-01-2025 16:12,5 (Strongly agree),2 (Disagree),2 (Disagree),3 (Neutral),4 (Agree),3 (Neutral),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),4 (Agree),3 (Neutral),4 (Agree),5 (Strongly agree),Planner,
03-01-2025 17:42,4 (Agree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),5 (Strongly agree),2 (Disagree),4 (Agree),4 (Agree),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),5 (Strongly agree),1 (Strongly Disagree),3 (Neutral),Introvert,
03-01-2025 17:47,2 (Disagree),1 (Strongly Disagree),2 (Disagree),2 (Disagree),2 (Disagree),2 (Disagree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4 (Agree),2 (Disagree),1 (Strongly Disagree),1 (Strongly Disagree),2 (Disagree),4 (Agree),3 (Neutral),3 (Neutral),Thinker,
03-01-2025 18:42,3 (Neutral),4 (Agree),4 (Agree),1 (Strongly Disagree),3 (Neutral),4 (Agree),4 (Agree),2 (Disagree),4 (Agree),1 (Strongly Disagree),2 (Disagree),4 (Agree),2 (Disagree),4 (Agree),5 (Strongly agree),2 (Disagree),5 (Strongly agree),3 (Neutral),2 (Disagree),Explorer,
